Filename	Category	UserMode	Description	DisplayName
plugin_upgradeproposal.py	Maintenance	Basic	Upgradeproposal 기능을 실행합니다.	Upgradeproposal
plugin_applyupgrade.py	Maintenance	Basic	Applyupgrade 기능을 실행합니다.	Applyupgrade
plugin_remotepush.py	Remote/Automation	Expert	Remotepush 기능을 실행합니다.	Remotepush
plugin_resultsync.py	Remote/Automation	Basic	Resultsync 기능을 실행합니다.	Resultsync
plugin_approvalui.py	UI Components	Expert	Approvalui 기능을 실행합니다.	Approvalui
plugin_autosign.py	Remote/Automation	Basic	Autosign 기능을 실행합니다.	Autosign
plugin_selfupdate.py	Maintenance	Basic	Selfupdate 기능을 실행합니다.	Selfupdate
plugin_alertnotify.py	UI Components	Basic	Alertnotify 기능을 실행합니다.	Alertnotify
plugin_autoapprove.py	Remote/Automation	Basic	Autoapprove 기능을 실행합니다.	Autoapprove
plugin_reportsummary.py	Reporting	Basic	Reportsummary 기능을 실행합니다.	Reportsummary
plugin_antivirus_manager.py	Network/Security	Expert	Antivirus Manager 기능을 실행합니다.	Antivirus Manager
plugin_system_repair.py	System Repair	Basic	System Repair 기능을 실행합니다.	System Repair
plugin_optimize_ram.py	Optimization	Basic	Optimize Ram 기능을 실행합니다.	Optimize Ram
plugin_basic_system_check.py	System Diagnostics	Basic	Basic System Check 기능을 실행합니다.	Basic System Check
plugin_osinfo.py	System Diagnostics	Basic	Osinfo 기능을 실행합니다.	Osinfo
plugin_systemcheck.py	System Diagnostics	Basic	Systemcheck 기능을 실행합니다.	Systemcheck
